Date,BTC_normalized_log_return,SPX_normalized_log_return,GOLD_normalized_log_return
2017-08-18,-0.9204967321338959,-0.18078358968113376,-0.10568341515205214
2017-08-21,-0.8906442082520628,0.05878449383714419,0.3803732108742963
2017-08-22,0.5005125090346861,0.75613089543389,-0.5092660090344978
2017-08-23,0.23634405989957571,-0.31039325719203364,0.265369984080533
2017-08-24,0.9133102550886059,-0.19992032462973625,-0.2622026235483218
2017-08-25,0.15111029076718938,0.09948399430927594,0.44596433881870373
2017-08-28,0.020287538285430232,0.0048624492819834865,1.3798127618009564
2017-08-29,0.9277191657960763,0.033261544347390155,0.25166056955442717
2017-08-30,-0.10115648417344543,0.33378234165408566,-0.4283176761631133
2017-08-31,0.6194788896406227,0.421663719840025,0.615319168506973
2017-09-01,0.8286441318267667,0.12417601211614915,0.6193310160215425
2017-09-05,-2.4815744805681663,-0.6394976585377121,1.0840591985787638
2017-09-06,1.0451468621761753,0.2155020915793569,-0.47661355959798674
2017-09-07,-0.022041628071581717,-0.04829136549225279,0.8560795058686373
2017-09-08,-1.8834650175447492,-0.153057105689887,0.03133856624987726
2017-09-11,-0.3886466355256134,0.8271682062136639,-1.2694870330073318
2017-09-12,-0.19663955115503454,0.23423121614096357,-0.27935704311540327
2017-09-13,-1.396759865469694,0.026421054203577616,-0.41625938229170834
2017-09-14,-4.594754402775727,-0.122012110008733,0.06460994979695006
2017-09-15,3.091818343394711,0.11338390537875859,-0.3689529558194844
2017-09-18,2.407027283862404,0.08218081499003384,-1.2042709747848688
2017-09-19,-0.8064833528939035,0.054599002092544154,-0.055947484540394596
2017-09-20,-0.14195261271848644,0.016620537348259024,0.43099064425765327
2017-09-21,-1.6386733879777058,-0.27772120734396816,-1.8031788837197642
2017-09-22,-0.037284968805881946,0.01769392851879634,0.18235647991315093
2017-09-25,1.6831596659810037,-0.2117353543757435,1.1042727576915112
2017-09-26,-0.22474057466999778,-0.028271681734335464,-0.839160618307536
2017-09-27,1.6396013526679754,0.29162792237719487,-1.1840200239284906
2017-09-28,-0.17131955717112754,0.06213276258609903,0.034784194763329515
2017-09-29,-0.0966771667947149,0.26138787175363376,-0.3627491029037323
2017-10-02,1.2273650677245873,0.2748284913990177,-0.7889789659816724
2017-10-03,-0.4976734966834604,0.13822986693838282,-0.13998804508731383
2017-10-04,-0.4882854409416398,0.06549201933767186,0.14413832404598154
2017-10-05,0.4733816277121012,0.4157708803006396,-0.34064606945313636
2017-10-06,0.17894221605762817,-0.11984629047682131,0.10254475731459194
2017-10-09,1.894248606000931,-0.17830807560006393,0.8014250089073284
2017-10-10,0.010628067498515316,0.15126728974502684,0.687791642944981
2017-10-11,0.16823243868625415,0.10990147405657419,-0.4441409157121385
2017-10-12,2.6216851176772487,-0.16889103164011277,0.5869861117096264
2017-10-13,0.7581946753323131,0.036077778675722524,0.6241831932058153
2017-10-16,0.26761298478920986,0.1056948925194466,-0.1704894452287366
2017-10-17,-0.5009036882688264,0.019672490702013254,-1.4229330338645532
2017-10-18,-0.09338943948290579,0.02524083198482604,-0.30520642097992684
2017-10-19,0.4230130041020731,-0.007839499902525828,0.5402936792180381
2017-10-20,1.1007825658168462,0.37366451167821185,-0.8275607210764221
2017-10-23,-0.33375895351113766,-0.35199775662734567,-0.006391205810522549
2017-10-24,-1.5841028034387619,0.09510083683790196,-0.25626368014604434
